ID,Gender,Register Date,Post,Forward Post,Original Post,Video,Pics,Avatar,Level,Active Days,经验值,Follow,Follower,Offline Friends,Offline Stranger,Tags,Badges,Album,Photo,Slogan,Collect Date,Collect minus Register,Register Days,Demographics,Ed and Pro,Extro3,Extro2,Extro,Neuro3,Neuro2,Neuro,Open3,Open2,Open,Agree3,Agree2,Agree,Consc3,Consc2,Consc
30,0,1/30/2011,3465,3325,140,118,1912,1,9,971,0,210,198,0,0,10,6,0,95,0,3/11/2014,1136,1177,3,5,1,1,33,2,2,35,2,1,40,2,1,41,1,1,28
211,0,8/16/2013,7,5,2,3,5,0,3,33,0,40,3,0,0,0,0,0,0,0,4/12/2014,239,248,2,0,3,2,47,1,1,23,2,2,43,2,2,42,1,1,28
143,1,10/14/2010,886,622,264,30,583,1,7,500,0,255,121,0,0,1,4,0,24,0,3/23/2014,1256,1285,3,0,2,2,41,3,2,39,1,1,38,3,2,46,1,1,29
9,0,6/25/2011,97,86,11,4,9,2,4,95,0,42,95,0,0,3,4,0,0,1,3/6/2014,985,1031,3,4,2,1,38,3,2,40,1,1,34,1,1,32,1,1,32
134,0,11/7/2011,81,28,53,1,42,2,3,46,0,33,14,0,0,2,1,0,18,0,3/21/2014,865,896,2,0,1,1,28,3,2,44,2,2,42,3,2,46,1,1,32
112,1,10/17/2012,145,113,32,2,113,0,2,22,0,39,27,0,0,1,1,0,10,0,3/20/2014,519,551,2,0,3,2,45,2,2,35,1,1,39,3,2,48,1,1,32
178,0,4/22/2011,127,27,100,8,44,4,3,46,0,50,143,0,0,9,7,3,44,1,4/12/2014,1086,1095,4,2,1,1,35,3,2,46,3,2,55,1,1,39,1,1,33
123,0,6/29/2011,221,142,79,4,150,3,7,399,0,142,54,0,0,5,3,0,16,1,3/20/2014,995,1027,3,0,2,2,42,2,2,35,3,2,48,2,1,40,1,1,33
150,1,8/21/2010,932,597,335,116,609,1,11,1381,0,430,437,0,0,10,14,0,185,1,3/23/2014,1310,1339,3,13,1,1,35,3,2,39,3,2,46,1,1,37,1,1,34
149,0,8/11/2011,2774,1528,1246,27,1089,1,9,1019,0,27,356,0,0,5,19,0,436,0,3/23/2014,955,984,2,1,1,1,26,3,2,42,2,1,41,2,1,41,1,1,34
170,1,1/6/2011,223,136,87,2,134,2,9,764,0,146,37,0,0,5,0,0,23,0,4/12/2014,1192,1201,3,0,1,1,29,3,2,39,3,2,50,3,2,43,1,1,34
204,0,4/3/2012,366,194,72,26,295,4,8,548,0,39,40,0,0,4,16,2,44,1,4/12/2014,739,748,3,0,2,2,40,3,2,42,2,1,41,1,1,36,1,1,35
75,0,9/20/2012,120,22,98,5,78,4,4,107,0,9,20,0,0,1,4,0,0,1,3/21/2014,547,578,2,0,1,1,34,3,2,44,2,1,39,1,1,38,1,1,35
137,0,9/15/2011,277,164,113,14,161,6,6,350,0,153,57,0,0,1,4,0,17,0,3/20/2014,917,949,2,0,1,1,24,2,2,38,3,2,50,1,1,38,1,1,35
116,0,10/13/2011,129,55,74,2,86,2,4,121,0,45,44,0,0,4,3,0,50,0,3/20/2014,889,921,2,2,1,1,34,2,2,35,2,1,41,2,1,41,1,1,35
252,0,8/29/2011,60,27,33,0,18,3,7,482,0,202,157,0,0,0,5,1,3,0,4/12/2014,957,966,4,6,3,2,43,1,1,31,1,1,37,3,2,48,1,1,35
155,0,2/13/2013,666,660,6,13,651,1,4,92,0,223,48,0,0,8,1,0,4,1,3/23/2014,403,432,2,0,1,1,32,3,2,46,1,1,33,1,1,35,1,1,36
81,0,9/4/2009,8,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3/19/2014,1657,1690,2,0,1,1,36,2,2,36,1,1,36,1,1,36,1,1,36
219,0,1/5/2011,13,6,7,0,7,2,2,17,0,7,26,0,0,0,1,2,4,1,4/12/2014,1193,1202,2,5,2,1,37,1,1,28,1,1,32,1,1,39,1,1,36
109,0,5/22/2010,1284,609,675,110,822,1,11,1560,0,210,286,0,0,6,17,0,368,1,3/20/2014,1398,1430,2,0,2,2,42,1,1,28,3,2,47,3,2,48,1,1,36
147,0,7/9/2011,431,274,157,12,260,15,8,580,0,195,205,0,0,0,10,0,74,1,3/23/2014,988,1017,3,5,3,2,43,2,2,35,1,1,34,3,2,49,1,1,36
